time,open,high,low,close,Shapes,Shapes
1711476000,1.08305,1.08322,1.08298,1.08299,0,0
1711476900,1.08299,1.08332,1.08298,1.08332,0,0
1711477800,1.08332,1.08349,1.08326,1.08349,0,0
1711478700,1.08349,1.08349,1.08318,1.08328,0,1
1711479600,1.08328,1.0835,1.0832,1.08342,0,0
1711480500,1.08342,1.0835,1.08331,1.08332,0,0
1711481400,1.08332,1.08343,1.08318,1.08337,0,0
1711482300,1.08337,1.0834,1.08286,1.08287,0,0
1711483200,1.08287,1.08304,1.08284,1.08294,0,1
1711484100,1.08294,1.08308,1.08294,1.08306,0,0
1711485000,1.08306,1.08316,1.08299,1.08302,0,0
1711485900,1.08302,1.0832,1.08298,1.08312,0,1
1711486800,1.08312,1.08322,1.08312,1.08316,0,0
1711487700,1.08316,1.08325,1.08314,1.08323,0,0
1711488600,1.08323,1.0833,1.08322,1.08326,1,0
1711489500,1.08326,1.08329,1.08322,1.08325,0,0
1711490400,1.08325,1.0834,1.0832,1.08323,1,1
1711491300,1.08323,1.08328,1.08322,1.08324,0,0
1711492200,1.08324,1.08328,1.0832,1.08326,0,1
1711493100,1.08326,1.0833,1.08325,1.08328,0,0
1711494000,1.08328,1.08332,1.08325,1.08332,0,0
